Gene,Description,Locus,RPKM_ctrl,RPKM_case,p_value,Fold change
UBA52P6,RPL40_3_969  | ubiquitin A-52 residue ribosomal protein fusion product 1 pseudogene 6,chr9:21792634-22019516,256.533,314.532,0.00139594,1.23
PFDN2,prefoldin subunit 2,chr1:159336970-159354490,696.107,854.205,6.11606E-05,1.23
IFITM3,interferon induced transmembrane protein 3 (1-8U),chr11:309677-310848,942.429,1156.89,3.60174E-06,1.23
RP9P,retinitis pigmentosa 9 pseudogene |FLJ33904,chr7:32501662-33068934,94.7325,116.333,6.43312E-05,1.23
HK3,hexokinase 3 (white cell),chr5:176170165-176258939,1.43533,1.76276,0.00170169,1.23
FXYD1,FXYD domain containing ion transport regulator 1,chr19:40321567-40325853,658.405,809.244,7.67503E-05,1.23
TCEAL2,transcription elongation factor A (SII)-like 2,chrX:101267315-101269339,1576.33,1937.69,2.53856E-09,1.23
FAM107A,"""family with sequence similarity 107, member A""",chr3:58524883-58538531,1650.99,2031.03,4.05853E-10,1.23
UBB,ubiquitin B,chr17:16225091-16226779,8857.4,10902.3,0,1.23
TIMP1,TIMP metallopeptidase inhibitor 1,chrX:47305521-47364200,116.166,143.001,0,1.23
TUBB2A,"""tubulin, beta 2A""",chr6:3098917-3102808,3351.34,4128.31,0,1.23
SYN2,synapsin II,chr3:12020861-12208532,345.225,425.994,0.0032725,1.23
TRMT112,tRNA methyltransferase 11-2 homolog (S. cerevisiae),chr11:63824438-63845858,805.942,995.359,0,1.24
BAIAP3,BAI1-associated protein 3,chr16:1323654-1341876,264.893,327.98,0.00278082,1.24
HSP90AB1,"""heat shock protein 90kDa alpha (cytosolic), class B member 1""",chr6:44322801-44329598,3786.11,4689.42,0,1.24
KLHDC8B,kelch domain containing 8B,chr3:49042147-49270159,84.3311,104.469,6.33476E-06,1.24
HSPE1,heat shock 10kDa protein 1 (chaperonin 10),chr2:198059554-198076351,480.653,596.637,4.02989E-12,1.24
TSR2,"""TSR2, 20S rRNA accumulation, homolog (S. cerevisiae)""",chrX:54483577-54488453,822.707,1021.94,3.6623E-06,1.24
ACIN1,apoptotic chromatin condensation inducer 1,chr14:22597615-22639500,260.296,323.701,0.00333226,1.24
PMVK,phosphomevalonate kinase,chr1:153163834-153176108,354.689,441.113,0.00223157,1.24
CAPN12,calpain 12,chr19:43830166-43926954,2.7782,3.45555,0.00112893,1.24
FUS,fused in sarcoma,chr16:31084765-31144011,785.604,978.046,3.37607E-06,1.24
C10orf116,chromosome 10 open reading frame 116,chr10:88718167-88720646,336.38,419.277,0.00302574,1.25
CHMP2A,chromatin modifying protein 2A,chr19:63754745-63758298,850.818,1060.5,1.69858E-06,1.25
PLEKHB1,"""pleckstrin homology domain containing, family B (evectins) member 1""",chr11:73023591-73051510,2482.4,3095.18,2.22045E-16,1.25
PRKCG,"""protein kinase C, gamma""",chr19:59077278-59102713,407.433,508.157,0.00089372,1.25
DYNC1LI2,"""dynein, cytoplasmic 1, light intermediate chain 2""",chr16:65312300-65343026,326.329,407.141,0.00290312,1.25
HSP90AA1,"""heat shock protein 90kDa alpha (cytosolic), class A member 1""",chr14:101617138-101675494,2890.66,3609.96,0,1.25
CD72,CD72 molecule,chr9:35595280-35609539,14.7383,18.4145,0.00357415,1.25
CALM3,"""calmodulin 1 (phosphorylase kinase, delta)""",chr19:51796351-51805878,11040.1,13795.9,0,1.25
NUDT3,nudix (nucleoside diphosphate linked moiety X)-type motif 3,chr6:34363981-34468419,330.933,413.913,0.00241225,1.25
PFDN6,prefoldin subunit 6,chr6:33354863-33374716,538.781,674.038,9.35887E-10,1.25
MIR770,microRNA 770,chr14:100362215-100397111,111.491,139.877,0,1.25
C16orf3,chromosome 16 open reading frame 3,chr16:88616508-88641534,1.93373,2.4263,6.03547E-07,1.25
AIF1L,allograft inflammatory factor 1-like,chr9:132961732-133098909,310.055,389.523,0.00129495,1.26
SCN3B,"""sodium channel, voltage-gated, type III, beta""",chr11:123005106-123030525,378.68,476.885,0.00080824,1.26
ANXA2P1,LPC2A  | annexin A2 pseudogene 1 | ANX2P1  |ANX2L1,chr4:154345067-154479924,3.18742,4.01744,8.1485E-10,1.26
TCEAL3,transcription elongation factor A (SII)-like 3,chrX:102749034-102751511,732.119,923.2,2.80248E-06,1.26
FTH1P3,"""ferritin, heavy polypeptide 1 pseudogene 3""",chr2:27457565-27486000,26.4805,33.5236,7.29709E-08,1.27
CABP7,calcium binding protein 7,chr22:28446343-28564265,17.4001,22.0304,0.00102009,1.27
EDF1,endothelial differentiation-related factor 1,chr9:138876391-138880559,3043.96,3854.75,0,1.27
RPL13P6,ribosomal protein L13a pseudogene 4  |RPL13AP4  | RPL13_5_1409  | ribosomal protein L13 pseudogene 6,chr14:102468469-102593552,0.900828,1.14212,0,1.27
C17orf84,FLJ22594  | chromosome 17 open reading frame 84,chr17:16886798-17029612,4.90107,6.21471,0,1.27
SUMO4,SMT3 suppressor of mif two 3 homolog 4 (S. cerevisiae),chr6:149680755-149774442,1.0071,1.27763,0.00102373,1.27
PSMD4,"""proteasome (prosome, macropain) 26S subunit, non-ATPase, 4""",chr1:149493808-149506579,594.175,755.365,1.20169E-05,1.27
SOD1,"""superoxide dismutase 1, soluble""",chr21:31953805-31963115,2967.99,3782.07,0,1.27
CFDP1,craniofacial development protein 1,chr16:73885108-74024888,351.191,447.64,0.000663799,1.27
MAP4,microtubule-associated protein 4,chr3:47867189-48105768,689.698,883.761,1.28253E-06,1.28
NUCKS1,nuclear casein kinase and cyclin-dependent kinase substrate 1,chr1:203953731-203985920,324.292,416.558,0.000722339,1.28
SNURF,SNRPN upstream reading frame,chr15:22619886-22776293,951.67,1222.72,0,1.28
S100A1,S100 calcium binding protein A1,chr1:151857898-151885402,1967.07,2527.36,0,1.28
HRAS,v-Ha-ras Harvey rat sarcoma viral oncogene homolog,chr11:522241-525591,740.396,952.364,2.78174E-07,1.29
FABP7,"""fatty acid binding protein 7, brain""",chr6:123142344-123146915,255.343,330.245,0.00202654,1.29
DNAJB2,"""DnaJ (Hsp40) homolog, subfamily B, member 2""",chr2:219852283-219861207,1022.69,1323.83,6.22201E-10,1.29
STIP1,stress-induced-phosphoprotein 1,chr11:63709872-63728596,454.613,588.871,3.40578E-05,1.30
ACYP1,"""acylphosphatase 1, erythrocyte (common) type""",chr14:74589682-74600489,214.641,278.707,0.00402615,1.30
MMEL1,membrane metallo-endopeptidase-like 1,chr1:2508096-2554289,0.651177,0.846494,0.002047,1.30
SNCG,"""synuclein, gamma (breast cancer-specific protein 1)""",chr10:88708350-88712995,2502.29,3255.68,0,1.30
NDRG2,NDRG family member 2,chr14:20554762-20563775,4267.98,5558.08,0,1.30
RPL37,ribosomal protein L37,chr5:40867186-40871144,2008.31,2615.9,0,1.30
HNRNPH3,heterogeneous nuclear ribonucleoprotein H3 (2H9),chr10:69712422-69772950,366.219,477.813,8.89947E-05,1.30
C1orf192,chromosome 1 open reading frame 192,chr1:159550789-159604288,21.5007,28.0774,9.74518E-05,1.31
SNRPD3,small nuclear ribonucleoprotein D3 polypeptide 18kDa,chr22:23266409-23354972,221.515,289.404,1.25269E-06,1.31
FAM166A,"""family with sequence similarity 166, member A""",chr9:139255531-139262043,2.65793,3.47906,0,1.31
U2AF1,U2 small nuclear RNA auxiliary factor 1,chr21:43386135-43400757,270.371,355.355,0.000707611,1.31
ARGLU1,arginine and glutamate rich 1,chr13:105992021-106018513,256.258,337.09,0.00111622,1.32
TAF15,"""TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa""",chr17:31160595-31198350,546.252,720.148,1.11009E-06,1.32
C10orf31,chromosome 10 open reading frame 31,chr10:11099932-11509495,1.98104,2.62309,0.000164876,1.32
TRIM72,tripartite motif-containing 72,chr16:31084765-31144011,8.95957,11.8643,2.49323E-08,1.32
TSPAN18,tetraspanin 18,chr11:44838450-44929433,5.90284,7.84841,0.003991,1.33
PPM1N,"""protein phosphatase, Mg2+/Mn2+ dependent, 1N (putative)""",chr19:50680389-50697608,26.1548,34.7764,1.57563E-12,1.33
ANP32B,"""acidic (leucine-rich) nuclear phosphoprotein 32 family, member B""",chr9:99785309-99818046,199.042,265.299,0.00218247,1.33
CHMP4A,chromatin modifying protein 4A,chr14:23748626-23755081,179.947,239.943,0.000525155,1.33
TUBB2B,"""tubulin, beta 2B""",chr6:3169515-3172870,1760.69,2359.13,0,1.34
PEA15,phosphoprotein enriched in astrocytes 15,chr1:158441748-158451790,2389.53,3210.04,0,1.34
NUDT16,nudix (nucleoside diphosphate linked moiety X)-type motif 16,chr3:132583396-132587619,161.464,217.752,0.00398012,1.35
HSPD1,heat shock 60kDa protein 1 (chaperonin),chr2:198059554-198076351,287.328,387.642,8.79083E-06,1.35
RPL37AP8,ribosomal protein L37a pseudogene 8,chr11:111265132-111265725,1456.54,1968.69,0,1.35
HSPH1,heat shock 105kDa/110kDa protein 1,chr13:30608764-30634117,519.086,702.768,1.66283E-07,1.35
CCL25,chemokine (C-C motif) ligand 25,chr19:7929457-8459885,4.54521,6.1595,0,1.36
GPHA2,glycoprotein hormone alpha 2,chr11:64448755-64459936,0.74162,1.00868,0,1.36
MED26,mediator complex subunit 26,chr19:16450877-16600015,21.2072,28.8487,0.000168421,1.36
PBXIP1,pre-B-cell leukemia homeobox interacting protein 1,chr1:153183175-153195221,270.64,369.511,9.93992E-05,1.37
SYCE2,synaptonemal complex central element protein 2,chr19:12862973-12891071,3.42102,4.67097,0.00225381,1.37
DERL3,"""Der1-like domain family, member 3""",chr22:22459149-22511201,15.8885,21.856,0.00116648,1.38
KCNJ13,"""potassium inwardly-rectifying channel, subfamily J, member 13""",chr2:233270258-233433529,0.378138,0.521156,0.000929659,1.38
MAP4K4,mitogen-activated protein kinase kinase kinase kinase 4,chr2:101680919-101877583,305.841,421.734,1.89029E-05,1.38
WISP3,WNT1 inducible signaling pathway protein 3,chr6:112481970-112530685,4.57775,6.31862,0.00134638,1.38
TCTE3,t-complex-associated-testis-expressed 3,chr6:169878919-169923605,1.16677,1.61697,0.00347224,1.39
CCDC121,coiled-coil domain containing 121,chr2:27702009-27771347,5.67429,7.86645,8.57522E-07,1.39
DNAJA1,"""DnaJ (Hsp40) homolog, subfamily A, member 1""",chr9:33015241-33029277,618.942,861.166,3.66758E-10,1.39
TAPBPL,TAP binding protein-like,chr12:6431519-6450326,17.1725,23.9097,1.66533E-14,1.39
MCM3AP-AS1,MCM3AP antisense RNA 1 (non-protein coding),chr21:46473572-46530639,6.16229,8.59982,0.000138608,1.40
PDE3A,"""phosphodiesterase 3A, cGMP-inhibited""",chr12:20413463-20725148,0.831756,1.16546,0,1.40
SNTB2,"""syntrophin, beta 2 (dystrophin-associated protein A1, 59kDa, basic component 2)""",chr16:67778532-67916446,15.1444,21.3018,0.00173407,1.41
SNORD94,"""small nucleolar RNA, C/D box 94""",chr2:86186848-86222791,12.1354,17.1547,0,1.41
SNORA64,"""small nucleolar RNA, H/ACA box 64""",chr16:1952062-1954828,11.085,15.7067,0,1.42
C7orf41,chromosome 7 open reading frame 41,chr7:30141076-30168906,1739.7,2465.74,0,1.42
HSH2D,hematopoietic SH2 domain containing,chr19:15938465-16130344,1.23614,1.75254,2.42656E-05,1.42
SNORA57,"""small nucleolar RNA, H/ACA box 57""",chr11:62186865-62196424,21.5816,30.7542,0,1.43
RBP1,"""retinol binding protein 1, cellular""",chr3:140718969-140741180,214.5,306.338,6.25597E-05,1.43
C10orf10,chromosome 10 open reading frame 10,chr10:44775224-44810174,47.6207,68.1848,2.02066E-06,1.43
IFITM2,interferon induced transmembrane protein 2 (1-8D),chr11:298162-299395,190.567,273.289,0.000160956,1.43
TPM2,tropomyosin 2 (beta),chr9:35671989-35680053,145.785,209.314,0.00082915,1.44
MOBP,myelin-associated oligodendrocyte basic protein,chr3:39484073-39542105,825.692,1187.42,1.11022E-15,1.44
ALDH1L1,"""aldehyde dehydrogenase 1 family, member L1""",chr3:127305097-127382719,115.616,166.269,0.00269635,1.44
GPT,glutamic-pyruvate transaminase (alanine aminotransferase),chr8:145624998-145703357,16.2523,23.4464,0,1.44
ACTA2,"""actin, alpha 2, smooth muscle, aorta""",chr10:90629994-90723050,61.5269,88.8603,0.000205118,1.44
PKP4,plakophilin 4,chr2:159021721-159299760,285.449,413.012,1.54898E-06,1.45
C15orf62,chromosome 15 open reading frame 62,chr15:38847362-38894059,5.29888,7.67574,2.48065E-05,1.45
MIR1184-1,microRNA 1184-3,chrX:154264942-154266643,0.028673,0.0415506,0,1.45
ZEB2,zinc finger E-box binding homeobox 2,chr2:144862054-144994386,116.168,168.547,0.00204131,1.45
KIF5B,kinesin family member 5B,chr10:32340076-32385334,101.584,147.579,0.0037704,1.45
NPTX2,neuronal pentraxin II,chr7:98084539-98097117,307.978,447.699,4.34567E-07,1.45
GAB2,GRB2-associated binding protein 2,chr11:77603989-77806414,103.125,150.713,0.00298767,1.46
ARHGAP19,Rho GTPase activating protein 19,chr10:98747784-99042403,10.3803,15.1924,2.17252E-06,1.46
GAPDHP42,glyceraldehyde 3 phosphate dehydrogenase pseudogene 42,chr6:70442418-70563609,1.13733,1.66543,2.43992E-07,1.46
FKBP4,"""FK506 binding protein 4, 59kDa""",chr12:2774413-2783381,710.931,1042.3,3.77476E-15,1.47
MYBPC2,"""myosin binding protein C, fast type""",chr19:55627971-55678419,1.33713,1.96512,1.30539E-05,1.47
VAMP5,vesicle-associated membrane protein 5 (myobrevin),chr2:85665041-85674020,102.811,151.28,0.00251219,1.47
C10orf111,chromosome 10 open reading frame 111,chr10:15172918-15250701,3.77228,5.55136,0.000944727,1.47
ARHGAP9,Rho GTPase activating protein 9,chr12:56140200-56200567,19.4072,28.5662,5.9264E-08,1.47
C3orf45,chromosome 3 open reading frame 45,chr3:50291521-50311903,4.39835,6.49565,0.000034367,1.48
FOXO4,forkhead box O4,chrX:70232750-70240110,127.133,187.798,0.000688644,1.48
RPRM,"""reprimo, TP53 dependent G2 arrest mediator candidate""",chr2:154042097-154043568,92.3398,136.505,0.00371991,1.48
CPLX2,complexin 2,chr5:175156215-175243629,1073.74,1588.18,0,1.48
LRRTM2,leucine rich repeat transmembrane neuronal 2,chr5:138117005-138298619,27.3697,40.7074,1.53433E-13,1.49
PAQR6,progestin and adipoQ receptor family member VI,chr1:154479830-154484471,1607.25,2390.99,0,1.49
DNAJA4,"""DnaJ (Hsp40) homolog, subfamily A, member 4""",chr15:76343550-76361591,330.679,492.193,2.2253E-08,1.49
MBP,myelin basic protein,chr18:72819770-72973788,34605.4,51543.1,0,1.49
SPATA21,spermatogenesis associated 21,chr1:16566306-16636506,0.375544,0.561673,0.00126955,1.50
C10orf54,chromosome 10 open reading frame 54,chr10:72826696-73245708,76.2586,114.059,0.000707549,1.50
TAGLN,transgelin,chr11:116575249-116580717,148.385,222.537,0.000183753,1.50
CRYAB,"""crystallin, alpha B""",chr11:111284559-111290026,3936.19,5914.52,0,1.50
TP53INP2,tumor protein p53 inducible nuclear protein 2,chr20:32755803-32764904,578.166,870.024,2.62013E-14,1.50
LYPD1,LY6/PLAUR domain containing 1,chr2:132890616-133145622,92.7601,140.754,0.00166182,1.52
FGF1,fibroblast growth factor 1 (acidic),chr5:141951926-142057801,258.319,392.865,1.658E-07,1.52
TBC1D26,"""TBC1 domain family, member 26""",chr17:15543779-15588820,5.27156,8.01974,0.00310225,1.52
SERINC4,serine incorporator 4,chr15:41852106-41904243,4.5903,7.01813,0,1.53
MAFK,v-maf musculoaponeurotic fibrosarcoma oncogene homolog K (avian),chr7:1536866-1562592,71.5674,109.456,0.000438282,1.53
SLC39A5,"""solute carrier family 39 (metal ion transporter), member 5""",chr12:54910804-54938410,0.487011,0.745439,4.75977E-08,1.53
TMEM79,transmembrane protein 79,chr1:154485640-154532087,20.6852,31.6886,1.49503E-12,1.53
KIF1C,kinesin family member 1C,chr17:4841970-4868721,380.015,582.403,9.50964E-11,1.53
MKNK2,MAP kinase interacting serine/threonine kinase 2,chr19:1988480-2002243,112.678,172.845,0.000426209,1.53
C19orf68,chromosome 19 open reading frame 68,chr19:53365760-53399021,75.1977,115.938,0.00327923,1.54
SYCP3,synaptonemal complex protein 3,chr12:100615547-100657378,4.04072,6.23984,7.50317E-06,1.54
EIF4BP6,eukaryotic translation initiation factor 4B pseudogene 6,chr7:103756463-104183203,65.5305,101.439,0.000237147,1.55
HIST2H3A,"""histone cluster 2, H3c""",chr1:148080128-148124826,1.34546,2.08808,0.00125641,1.55
SNORD17,"""small nucleolar RNA, C/D box 17""",chr20:17870240-17897490,3.3338,5.18406,0,1.56
GDF15,growth differentiation factor 15,chr19:18312396-18526861,1.66609,2.61625,0,1.57
RNU105A,"""RNA, U105A small nucleolar""",chr1:28705082-28738194,5.22417,8.21986,8.65086E-13,1.57
C22orf15,chromosome 22 open reading frame 15,chr22:22435207-22440141,0.643707,1.01323,1.8418E-08,1.57
PIP5K1P1,"""phosphatidylinositol-4-phosphate 5-kinase, type I, pseudogene 1""",chr6:7672009-8009646,2.86289,4.5127,1.13115E-05,1.58
TOMM20L,translocase of outer mitochondrial membrane 20 homolog (yeast)-like,chr14:57932385-58085299,0.508573,0.803425,9.20506E-07,1.58
CALR3,calreticulin 3,chr19:16450877-16600015,0.128993,0.204486,3.06337E-10,1.59
SPR,"""sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)""",chr2:72968055-72972794,69.1078,109.657,0.00264682,1.59
RN7SK,"""RNA, 7SK small nuclear""",chr6:52968376-52968707,315.525,504.069,6.75382E-11,1.60
C22orf45,chromosome 22 open reading frame 45,chr22:22996865-23168324,1.1062,1.76877,1.38592E-06,1.60
S100A13,S100 calcium binding protein A13,chr1:151857898-151885402,637.439,1021.86,0,1.60
ZBTB12B,zinc finger and BTB domain containing 12B,chr4:39376204-39457977,0.613227,0.983137,1.79039E-06,1.60
CLDN20,claudin 20,chr6:155453114-155677311,1.85324,2.98109,4.74226E-09,1.61
NUDT6,nudix (nucleoside diphosphate linked moiety X)-type motif 6,chr4:123967312-124063573,11.8971,19.1392,0.00280319,1.61
TXNDC11,thioredoxin domain containing 11,chr16:11669801-11744149,56.1964,90.4531,0,1.61
C10orf108,chromosome 10 open reading frame 108,chr10:311431-725518,1.27402,2.05906,0.000174507,1.62
DDIT4,DNA-damage-inducible transcript 4,chr10:73703682-73705803,182.471,295.356,3.14366E-07,1.62
TGFB3,"""transforming growth factor, beta 3""",chr14:75494194-75517242,55.4689,90.78,0.00384557,1.64
OMD,osteomodulin,chr9:94128042-94472368,3.62445,5.98056,0.000680397,1.65
AURKAPS1,serine/threonine kinase 6 pseudogene  | AurAps1  |STK6P  | aurora kinase A pseudogene 1,chr1:218388257-218512419,1.37312,2.27369,0,1.66
PSMC3IP,PSMC3 interacting protein,chr17:37972603-37983375,13.2035,21.9099,1.39194E-06,1.66
SLC5A2,"""solute carrier family 5 (sodium/glucose cotransporter), member 2""",chr16:31401939-31427207,1.11952,1.85918,1.37559E-11,1.66
C1orf134,chromosome 1 open reading frame 134,chr1:16427756-16428681,98.7645,164.163,6.60311E-05,1.66
BCAS1,breast carcinoma amplified sequence 1,chr20:51991403-52120491,710.911,1188.2,0,1.67
POLH,"""polymerase (DNA directed), eta""",chr6:43592768-43691375,6.18451,10.347,8.39291E-05,1.67
ZACN,zinc activated ligand-gated ion channel,chr17:71586903-71611451,0.819032,1.37096,0,1.67
PYDC1,PYD (pyrin domain) containing 1,chr16:31084765-31144011,29.3826,49.3632,0,1.68
MRAP,melanocortin 2 receptor accessory protein,chr21:32585994-32687206,31.3347,53.7471,6.21725E-15,1.72
PPP1R15A,"""protein phosphatase 1, regulatory (inhibitor) subunit 15A""",chr19:54067489-54071126,186.96,321.46,3.80177E-09,1.72
TMEM184A,transmembrane protein 184A,chr7:1536866-1562592,0.189324,0.328784,0.000906255,1.74
C1QL3,"""complement component 1, q subcomponent-like 3""",chr10:16595747-16604010,52.3565,91.6271,0.00123611,1.75
KCNH6,"""potassium voltage-gated channel, subfamily H (eag-related), member 6""",chr17:58954426-59172947,4.53484,7.94874,0,1.75
NPPA,natriuretic peptide A,chr1:11749385-11909072,41.7489,73.368,0,1.76
JMJD6,jumonji domain containing 6,chr17:72224362-72234253,46.7478,83.0438,0.00168529,1.78
CECR4,"""cat eye syndrome chromosome region, candidate 4 (non-protein coding)""",chr22:15998410-16026177,3.23406,5.75639,0,1.78
KCNG1,"""potassium voltage-gated channel, subfamily G, member 1""",chr20:49053600-49073082,59.9339,106.693,0.000353408,1.78
GPR52,G protein-coupled receptor 52,chr1:172395170-173226353,2.54755,4.53892,0.00212448,1.78
TPSG1,tryptase gamma 1,chr16:1143738-1215257,0.234514,0.418159,9.85529E-07,1.78
TNNT1,"""troponin T type 1 (skeletal, slow)""",chr19:60336007-60352385,76.0574,135.742,5.25293E-05,1.78
NPHS1,"""nephrosis 1, congenital, Finnish type (nephrin)""",chr19:40939937-41034579,1.65036,2.95367,6.14009E-08,1.79
C10orf105,chromosome 10 open reading frame 105,chr10:72826696-73245708,3.22791,5.80009,0.000715076,1.80
CTNNA3,"""catenin (cadherin-associated protein), alpha 3""",chr10:67349874-69125933,6.17229,11.0997,5.23078E-05,1.80
TSPAN10,tetraspanin 10,chr17:77134358-77226781,0.509691,0.926684,0,1.82
PAIP2B,poly(A) binding protein interacting protein 2B,chr2:71268943-71307709,81.216,148.138,1.34226E-05,1.82
SNORA67,"""small nucleolar RNA, H/ACA box 67""",chr17:7393098-7426152,0.201043,0.367382,0,1.83
RSPH9,radial spoke head 9 homolog (Chlamydomonas),chr6:43720771-43763506,12.6659,23.3208,1.67164E-11,1.84
TJP3,tight junction protein 3 (zona occludens 3),chr19:3441823-3723219,1.71191,3.18852,0,1.86
CDKN1A,"""cyclin-dependent kinase inhibitor 1A (p21, Cip1)""",chr6:36754464-36763086,48.4594,90.6155,0.0004367,1.87
FAM32B,"""family with sequence similarity 32, member B (pseudogene)""",chr16:55075800-55111696,2.44463,4.60549,0,1.88
MIR637,microRNA 637,chr19:3909451-3920826,20.5801,39.0722,0,1.90
C14orf178,chromosome 14 open reading frame 178,chr14:77253698-77305838,1.21829,2.42082,4.44089E-16,1.99
PGC,progastricsin (pepsinogen C),chr6:41759693-41823099,0.912452,1.82068,1.1093E-08,2.00
C1orf167,chromosome 1 open reading frame 167,chr1:11749385-11909072,0.164959,0.330568,0,2.00
CCRL1,chemokine (C-C motif) receptor-like 1,chr3:133759671-133923993,0.517561,1.05196,4.88365E-12,2.03
PTMAP5,"prothymosin, alpha pseudogene 5 (gene sequence 150)  | prothymosin, alpha pseudogene 5",chr13:81162046-81163208,1197.5,2452.94,0,2.05
HIPK2,homeodomain interacting protein kinase 2,chr7:138907914-139123984,47.4472,97.2321,5.22408E-05,2.05
LRP2BP,LRP2 binding protein,chr4:186368277-186537146,8.76079,18.414,0.00175962,2.10
MIR922,microRNA 922,chr3:198882655-198948170,0.0306266,0.0654743,0,2.14
CARTPT,CART prepropeptide,chr5:71050749-71052628,68.0513,145.854,2.06948E-07,2.14
KCTD4,potassium channel tetramerisation domain containing 4,chr13:44592655-44756237,50.976,109.325,2.94524E-09,2.14
CLDN7,claudin 7,chr17:7096095-7106520,0.367423,0.810245,0,2.21
PNMA5,paraneoplastic antigen like 5,chrX:151908024-151911417,36.6059,83.6042,0.000030844,2.28
DLEC1,deleted in lung and esophageal cancer 1,chr3:38055699-38153619,1.26504,2.92881,2.07669E-09,2.32
RAX2,retina and anterior neural fold homeobox 2,chr19:3441823-3723219,1.04522,2.45726,0,2.35
C9orf128,chromosome 9 open reading frame 128,chr9:35802956-35844844,0.425442,1.00543,0,2.36
SNORA73A,"""small nucleolar RNA, H/ACA box 73A""",chr1:28705082-28738194,4.4602,11.0592,0,2.48
GRIK1-AS1,GRIK1 antisense RNA 1 (non-protein coding),chr21:29831124-30234211,1.57773,3.92157,2.22045E-16,2.49
OR4N4,"""olfactory receptor, family 4, subfamily N, member 4""",chr15:19793226-19942240,0.163308,0.435878,5.27191E-06,2.67
TSPAN16,tetraspanin 16,chr19:11267823-11311321,0.665885,1.79075,1.54491E-07,2.69
LRRC53,leucine rich repeat containing 53,chr1:74436513-74782696,0.531055,1.44813,2.19526E-07,2.73
POTEJ,"""POTE ankyrin domain family, member J""",chr2:131085523-131132169,0.0272452,0.0752757,0.000106983,2.76
STAG3,stromal antigen 3,chr7:99613473-99707766,6.86702,19.0876,0,2.78
SCT,secretin,chr11:616312-630703,1.32528,3.79038,7.59708E-07,2.86
KCNMB1,"""potassium large conductance calcium-activated channel, subfamily M, beta member 1""",chr5:169713458-170096212,1.60594,4.71253,0,2.93
DENND1B,DENN/MADD domain containing 1B,chr1:195745396-196011078,0.736959,2.29478,5.28953E-07,3.11
DNAJB1,"""DnaJ (Hsp40) homolog, subfamily B, member 1""",chr19:14486581-14490201,609.7,1966.36,0,3.23
ANXA8L1,annexin A8,chr10:46511544-46679689,0.558979,2.27353,0.000328103,4.07
HSPA1A,heat shock 70kDa protein 1A,chr6:31891298-31893702,1216.93,5154.74,0,4.24
HSPB1,heat shock 27kDa protein 1,chr7:75769858-75771548,882.683,4082.36,0,4.62
G0S2,G0/G1switch 2,chr1:207915387-207916355,17.7104,91.2654,2.70868E-10,5.15
GSG2,germ cell associated 2 (haspin),chr17:3564671-3651293,0.0460047,0.244515,1.24465E-09,5.32
PKD2L2,polycystic kidney disease 2-like 2,chr5:137253023-137396701,0.0383692,0.207415,0,5.41
BAG3,BCL2-associated athanogene 3,chr10:121400871-121427317,60.1249,374.564,0,6.23
SERPINH1,"""serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)""",chr11:74950817-74961492,32.9094,235.464,0,7.15
HSPA6,heat shock 70kDa protein 6 (HSP70B'),chr1:159760659-159763305,12.4254,183.103,0,14.74
PPP3R2,"""protein phosphatase 3, regulatory subunit B, beta""",chr9:103371455-103540683,0.332548,0,0,NA
ACOXL,acyl-CoA oxidase-like,chr2:111206679-111568392,0,0.862701,0,NA
C12orf33,chromosome 12 open reading frame 33,chr12:9096692-9160020,0,0.52075,0,NA
C17orf78,chromosome 17 open reading frame 78,chr17:32516035-32841015,0,0.423622,0,NA
C1orf200,chromosome 1 open reading frame 200,chr1:9634376-9807137,0,0.30858,0,NA
C20orf144,chromosome 20 open reading frame 144,chr20:31708554-31725925,1.20979,0,0,NA
C6orf103,chromosome 6 open reading frame 103,chr6:146961828-147178291,0,0.847784,0,NA
COX8C,cytochrome c oxidase subunit 8C,chr14:92869317-93243442,1.3867,0,0,NA
CPB2,carboxypeptidase B2 (plasma),chr13:45525322-45577212,0,0.699127,0,NA
DNAH12,"""dynein, axonemal, heavy chain 12""",chr3:57429634-57505108,0.503049,0,0,NA
EFCAB3,EF-hand calcium binding domain 3,chr17:57811645-57847569,0,0.314044,0,NA
EMR3,"""egf-like module containing, mucin-like, hormone receptor-like 3""",chr19:14591051-14646730,0.393962,0,0,NA
FAM154A,"""family with sequence similarity 154, member A""",chr9:18917889-19023251,0,0.342963,0,NA
FAM71C,"""family with sequence similarity 71, member C""",chr12:97653468-98902563,0,0.422392,0,NA
FSD2,fibronectin type III and SPRY domain containing 2,chr15:81191705-81412481,0.224564,0,0,NA
FUNDC2P3,FUN14 domain containing 2 pseudogene 3 |FLJ37060,chr6:146390610-146800427,0,2.15216,0,NA
GPR171,G protein-coupled receptor 171,chr3:152287365-152634500,0,0.424665,0,NA
HIST1H3H,"""histone cluster 1, H3a""",chr6:27885820-27969644,6.04955,0,0,NA
HSPD1P10,HSPD1-4P  |HSPD1-4P  | heat shock 60kDa protein 1 (chaperonin) pseudogene 10,chr6:88049416-88108762,0.573163,0,0,NA
KRT18P10,keratin 18 pseudogene 10,chr17:56109997-56824973,0,0.451924,0,NA
