Rank,GeneSymbol,Symbol from mm9,Entrez Gene ID,RefSeq ID,Description
640,JAK1,Jak1,16451,NM_146145.2,Janus kinase 1
641,ATP6V1B2,Atp6v1b2,11966,NM_007509.2,"ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2"
642,TMEM8B,4930500O05Rik,242409,NM_001085508.2,transmembrane protein 8B
643,NFIC,Nfic,18029,NM_008688.3,nuclear factor I/C (CCAAT-binding transcription factor)
644,NLGN3,Nlgn3,245537,NM_172932.2,neuroligin 3
645,MYO10,Myo10,17909,NM_019472.2,myosin X
646,SPTB,Spnb1,20741,NM_013675.3,"spectrin, beta, erythrocytic"
647,CPLX2,Cplx2,12890,NM_009946.2,complexin 2
648,PHACTR1,Phactr1,218194,NM_198419.3,phosphatase and actin regulator 1
649,SGIP1,Sgip1,73094,NM_144906.1,SH3-domain GRB2-like (endophilin) interacting protein 1
650,ARF3,Arf3,11842,NM_007478.3,ADP-ribosylation factor 3
651,EIF4G3,Eif4g3,230861,NM_172703.2,"eukaryotic translation initiation factor 4 gamma, 3"
652,LHFPL4,Lhfpl4,269788,NM_177763.3,lipoma HMGIC fusion partner-like 4
653,CRTC1,Crtc1,382056,NM_001004062.2,CREB regulated transcription coactivator 1
654,PIKFYVE,Pip5k3,18711,NM_011086.2,"phosphoinositide kinase, FYVE finger containing"
655,COBL,Cobl,12808,NM_172496.3,cordon-bleu homolog (mouse)
656,GNAZ,Gnaz,14687,NM_010311.3,"guanine nucleotide binding protein (G protein), alpha z polypeptide"
657,UBR5,Ubr5,70790,NM_001081359.2,ubiquitin protein ligase E3 component n-recognin 5
658,CAMSAP1,Camsap1,227634,NM_001115076.1,calmodulin regulated spectrin-associated protein 1
659,ZNFX1,Znfx1,98999,NM_001033196.2,"zinc finger, NFX1-type containing 1"
660,TTC7B,Ttc7b,104718,NM_001033213.1,tetratricopeptide repeat domain 7B
661,TRPM3,Trpm3,226025,NM_001035239.2,"transient receptor potential cation channel, subfamily M, member 3"
662,TNRC6B,Tnrc6b,213988,NM_144812.2,trinucleotide repeat containing 6B
663,FSCN1,Fscn1,14086,NM_007984.2,"fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)"
664,DLC1,Dlc1,50768,NM_015802.2,deleted in liver cancer 1
665,ADD1,Add1,11518,NM_001102444.1,adducin 1 (alpha)
666,LPPR4,D3Bwg0562e,229791,NM_177664.5,lipid phosphate phosphatase-related protein type 4
667,FYN,Fyn,14360,NM_001122892.1,"FYN oncogene related to SRC, FGR, YES"
668,PHYHIP,Phyhip,105653,NM_145981.3,phytanoyl-CoA 2-hydroxylase interacting protein
669,UBE2O,Ube2o,217342,NM_173755.3,ubiquitin-conjugating enzyme E2O
670,KLHL22,Klhl22,224023,NM_145479.4,kelch-like 22 (Drosophila)
671,HDAC4,Hdac4,208727,NM_207225.1,histone deacetylase 4
672,DMWD,Dmwd,13401,NM_010058.1,"dystrophia myotonica, WD repeat containing"
673,STK25,Stk25,59041,NM_021537.3,"serine/threonine kinase 25 (STE20 homolog, yeast)"
674,LRRC68,Lrrc68,232947,NM_199149.3,leucine rich repeat containing 68
675,TNKS,Tnks,21951,NM_175091.3,"tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase"
676,C2CD2L,C2cd2l,71764,NM_027909.2,C2CD2-like
677,PLCH2,Plch2,269615,NM_175556.3,"phospholipase C, eta 2"
678,PHF20,Phf20,228829,NM_172674.2,PHD finger protein 20
679,SNPH,Snph,241727,NM_198214.2,syntaphilin
680,SASH1,Sash1,70097,NM_175155.4,SAM and SH3 domain containing 1
681,COPG,Copg,54161,NM_017477.2,"coatomer protein complex, subunit gamma"
682,CACNA1B,Cacna1b,12287,NM_007579.2,"calcium channel, voltage-dependent, N type, alpha 1B subunit"
683,CHN1,Chn1,108699,NM_175752.2,chimerin (chimaerin) 1
684,ARNT2,Arnt2,11864,NM_007488.2,aryl-hydrocarbon receptor nuclear translocator 2
685,CDK17,Pctk2,237459,NM_146239.2,cyclin-dependent kinase 17
686,EPHA4,Epha4,13838,NM_007936.3,EPH receptor A4
687,UQCRC1,Uqcrc1,22273,NM_025407.2,ubiquinol-cytochrome c reductase core protein I
688,SLC6A1,Slc6a1,232333,NM_178703.3,"solute carrier family 6 (neurotransmitter transporter, GABA), member 1"
689,GAS7,Gas7,14457,NM_001109657.2,growth arrest-specific 7
690,TNS3,Tns3,319939,NM_001083587.1,tensin 3
691,SPIRE1,Spire1,68166,NM_194355.2,spire homolog 1 (Drosophila)
692,SORT1,Sort1,20661,NM_019972.2,sortilin 1
693,AKT3,Akt3,23797,NM_011785.3,"v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)"
694,HNRNPUL1,Hnrnpul1,232989,NM_144922.2,heterogeneous nuclear ribonucleoprotein U-like 1
695,PTCH1,Ptch1,19206,NM_008957.2,patched homolog 1 (Drosophila)
696,CPT1C,Cpt1c,78070,NM_153679.1,carnitine palmitoyltransferase 1C
697,CNP,Cnp,12799,NM_009923.1,"2',3'-cyclic nucleotide 3' phosphodiesterase"
698,SAPS1,Saps1,243819,NM_172894.2,"SAPS domain family, member 1"
699,TRIM32,Trim32,69807,NM_053084.1,tripartite motif-containing 32
700,NCAM1,Ncam1,17967,NM_001081445.1,neural cell adhesion molecule 1
701,SEC14L1,Sec14l1,74136,NM_028777.2,SEC14-like 1 (S. cerevisiae)
702,DSCAML1,Dscaml1,114873,NM_001081270.1,Down syndrome cell adhesion molecule like 1
703,3-Sep,4-Sep,24050,NM_011889.2,septin 3
704,NTRK3,Ntrk3,18213,NM_182809.2,"neurotrophic tyrosine kinase, receptor, type 3"
705,NOMO1,Nomo1,211548,NM_153057.3,NODAL modulator 1
706,SH3BP4,Sh3bp4,98402,NM_133816.2,SH3-domain binding protein 4
707,CACNB1,Cacnb1,12295,NM_031173.2,"calcium channel, voltage-dependent, beta 1 subunit"
708,PDE8B,Pde8b,218461,NM_172263.1,phosphodiesterase 8B
709,PDE4B,Pde4b,18578,NM_019840.2,"phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)"
710,SALL2,Sall2,50524,NM_015772.2,sal-like 2 (Drosophila)
711,MYST3,Myst3,244349,NM_001081149.1,MYST histone acetyltransferase (monocytic leukemia) 3
712,NSF,Nsf,18195,NM_008740.4,N-ethylmaleimide-sensitive factor
713,DLG5,Dlg5,71228,NM_001163513.1,"discs, large homolog 5 (Drosophila)"
714,KDM6B,Jmjd3,216850,NM_001017426.1,lysine (K)-specific demethylase 6B
715,RHOB,Rhob,11852,NM_007483.2,"ras homolog gene family, member B"
716,DOT1L,Dot1l,208266,NM_199322.1,"DOT1-like, histone H3 methyltransferase (S. cerevisiae)"
717,ABCG1,Abcg1,11307,NM_009593.2,"ATP-binding cassette, sub-family G (WHITE), member 1"
718,LRP8,Lrp8,16975,NM_053073.3,"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor"
719,USP32,Usp32,237898,NM_001029934.1,ubiquitin specific peptidase 32
720,DIRAS2,Diras2,68203,NM_001024474.2,"DIRAS family, GTP-binding RAS-like 2"
721,PCDHGA12,Pcdhga12,93724,NM_033595.4,"protocadherin gamma subfamily A, 12"
722,TUBB3,Tubb3,22152,NM_023279.2,"tubulin, beta 3"
723,ARHGEF4,Arhgef4,226970,NM_183019.2,Rho guanine nucleotide exchange factor (GEF) 4
724,CAMKK2,Camkk2,207565,NM_145358.1,"calcium/calmodulin-dependent protein kinase kinase 2, beta"
725,RGS7BP,Rgs7bp,52882,NM_029879.2,regulator of G-protein signaling 7 binding protein
726,PTPN5,Ptpn5,19259,NM_013643.1,"protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched)"
727,NRIP1,Nrip1,268903,NM_173440.2,nuclear receptor interacting protein 1
728,RAP1GAP2,Garnl4,380711,NM_001015046.2,RAP1 GTPase activating protein 2
729,EPB49,Epb4.9,13829,NM_013514.3,erythrocyte membrane protein band 4.9 (dematin)
730,GTF3C1,Gtf3c1,233863,NM_207239.1,"general transcription factor IIIC, polypeptide 1, alpha 220kDa"
731,FOXK2,Foxk2,68837,NM_001080932.1,forkhead box K2
732,ATG9A,Atg9a,245860,NM_001003917.3,ATG9 autophagy related 9 homolog A (S. cerevisiae)
733,ZNF521,Zfp521,225207,NM_145492.3,zinc finger protein 521
734,GTF3C2,Gtf3c2,71752,NM_027901.2,"general transcription factor IIIC, polypeptide 2, beta 110kDa"
735,MAGI2,Magi2,50791,NM_015823.2,"membrane associated guanylate kinase, WW and PDZ domain containing 2"
736,PPFIA3,Ppfia3,76787,NM_029741.2,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3"
737,C20ORF12,6330439K17Rik,241688,NM_172859.2,chromosome 20 open reading frame 12
738,ZNF238,Zfp238,30928,NM_013915.3,zinc finger protein 238
739,SETX,Setx,269254,NM_198033.2,senataxin
740,PACS2,Pacs2,217893,NM_001081170.1,phosphofurin acidic cluster sorting protein 2
741,KCNQ2,Kcnq2,16536,NM_001003824.1,"potassium voltage-gated channel, KQT-like subfamily, member 2"
742,FBXL19,Fbxl19,233902,NM_172748.2,F-box and leucine-rich repeat protein 19
743,POLR2A,Polr2a,20020,NM_009089.2,"polymerase (RNA) II (DNA directed) polypeptide A, 220kDa"
744,MEF2D,Mef2d,17261,NM_133665.3,myocyte enhancer factor 2D
745,TRIL,1200009O22Rik,66873,NM_025817.3,TLR4 interactor with leucine rich repeats
746,BAZ2A,Baz2a,116848,NM_054078.2,"bromodomain adjacent to zinc finger domain, 2A"
747,TLE3,Tle3,21887,NM_001083927.1,"transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)"
748,PIGQ,Pigq,14755,NM_011822.3,"phosphatidylinositol glycan anchor biosynthesis, class Q"
749,GARNL3,Garnl3,99326,NM_178888.4,GTPase activating Rap/RanGAP domain-like 3
750,SLC25A23,Slc25a23,66972,NM_025877.3,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23"
751,MAPK1,Mapk1,26413,NM_011949.3,mitogen-activated protein kinase 1
752,B3GAT1,B3gat1,76898,NM_029792.1,"beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P)"
753,SMPD3,Smpd3,58994,NM_021491.3,"sphingomyelin phosphodiesterase 3, neutral membrane (neutral sphingomyelinase II)"
754,TSPYL4,Tspyl4,72480,NM_030203.2,TSPY-like 4
755,EIF2C2,Eif2c2,239528,NM_153178.2,"eukaryotic translation initiation factor 2C, 2"
756,FAM91A1,D15Ertd621e,210998,NM_145959.2,"family with sequence similarity 91, member A1"
757,APBB1,Apbb1,11785,NM_009685.2,"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)"
758,MMP24,Mmp24,17391,NM_010808.3,matrix metallopeptidase 24 (membrane-inserted)
759,ZNF536,Zfp536,243937,NM_172385.2,zinc finger protein 536
760,ATP2B4,Atp2b4,381290,NM_213616.1,"ATPase, Ca++ transporting, plasma membrane 4"
761,CELF5,Brunol5,319586,NM_176954.3,"CUGBP, Elav-like family member 5"
762,SPEG,Speg,11790,NM_007463.4,SPEG complex locus
763,NCS1,Freq,14299,NM_019681.3,neuronal calcium sensor 1
764,MAPK4,Mapk4,225724,NM_172632.2,mitogen-activated protein kinase 4
765,SLC8A1,Slc8a1,20541,NM_011406.2,"solute carrier family 8 (sodium/calcium exchanger), member 1"
766,RAPGEF2,Rapgef2,76089,NM_001099624.2,Rap guanine nucleotide exchange factor (GEF) 2
767,AGPAT3,Agpat3,28169,NM_053014.3,1-acylglycerol-3-phosphate O-acyltransferase 3
768,GPR162,Gpr162,14788,NM_013533.3,G protein-coupled receptor 162
769,PTK2,Ptk2,14083,NM_007982.1,PTK2 protein tyrosine kinase 2
770,SYNPO,Synpo,104027,NM_177340.2,synaptopodin
771,NUP98,Nup98,269966,NM_022979.1,nucleoporin 98kDa
772,ATP6V0D1,Atp6v0d1,11972,NM_013477.3,"ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1"
773,RHOBTB2,Rhobtb2,246710,NM_153514.5,Rho-related BTB domain containing 2
774,TMEM63B,Tmem63b,224807,NM_198167.2,transmembrane protein 63B
775,FKBP8,Fkbp8,14232,NM_001111066.1,"FK506 binding protein 8, 38kDa"
776,CPLX1,Cplx1,12889,NM_007756.2,complexin 1
777,CLCN3,Clcn3,12725,NM_007711.3,chloride channel 3
778,GRM4,Grm4,268934,NM_001013385.1,"glutamate receptor, metabotropic 4"
779,DIDO1,Dido1,23856,NM_175551.3,death inducer-obliterator 1
780,UNC5A,Unc5a,107448,NM_153131.3,unc-5 homolog A (C. elegans)
781,SEC23A,Sec23a,20334,NM_009147.2,Sec23 homolog A (S. cerevisiae)
782,OXR1,Oxr1,170719,NM_130885.2,oxidation resistance 1
783,MYH10,Myh10,77579,NM_175260.2,"myosin, heavy chain 10, non-muscle"
784,ZHX3,Zhx3,320799,NM_177263.3,zinc fingers and homeoboxes 3
785,FCHO1,Fcho1,74015,NM_028715.2,FCH domain only 1
786,MAPKBP1,Mapkbp1,26390,NM_011941.2,mitogen-activated protein kinase binding protein 1
787,MIB1,Mib1,225164,NM_144860.2,mindbomb homolog 1 (Drosophila)
788,TEF,Tef,21685,NM_017376.2,thyrotrophic embryonic factor
789,JPH4,Jph4,319984,NM_177049.4,junctophilin 4
790,UBQLN1,Ubqln1,56085,NM_026842.3,ubiquilin 1
791,BAP1,Bap1,104416,NM_027088.2,BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)
792,CAMK2N1,Camk2n1,66259,NM_025451.2,calcium/calmodulin-dependent protein kinase II inhibitor 1
793,SETD5,Setd5,72895,NM_028385.1,SET domain containing 5
794,SAP130,Sap130,269003,NM_172965.2,"Sin3A-associated protein, 130kDa"
795,ZNF827,Zfp827,622675,NM_178267.3,zinc finger protein 827
796,GSK3B,Gsk3b,56637,NM_019827.6,glycogen synthase kinase 3 beta
797,IDS,Ids,15931,NM_010498.2,iduronate 2-sulfatase
798,ATMIN,Atmin,234776,NM_177700.3,ATM interactor
799,PER1,Per1,18626,NM_011065.3,period homolog 1 (Drosophila)
800,PDS5B,Pds5b,100710,NM_175310.6,"PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)"
801,ALDOA,Aldoa,11674,NM_007438.3,"aldolase A, fructose-bisphosphate"
802,RAP1GAP,Rap1gap,110351,NM_001081155.1,RAP1 GTPase activating protein
803,DCAF6,Iqwd1,74106,NM_028759.1,DDB1 and CUL4 associated factor 6
804,KCNH7,Kcnh7,170738,NM_133207.2,"potassium voltage-gated channel, subfamily H (eag-related), member 7"
805,CHN2,Chn2,69993,NM_023543.1,chimerin (chimaerin) 2
806,USP5,Usp5,22225,NM_013700.1,ubiquitin specific peptidase 5 (isopeptidase T)
807,LYNX1,Lynx1,23936,NM_011838.4,Ly6/neurotoxin 1
808,NACAD,AB182283,192950,NM_001081652.1,NAC alpha domain containing
809,ARVCF,Arvcf,11877,NM_033474.2,armadillo repeat gene deletes in velocardiofacial syndrome
810,LRRC41,Lrrc41,230654,NM_153521.1,leucine rich repeat containing 41
811,KCNA2,Kcna2,16490,NM_008417.4,"potassium voltage-gated channel, shaker-related subfamily, member 2"
812,PCDHA4,Pcdha4,12936,NM_007766.2,protocadherin alpha 4
813,KIF21A,Kif21a,16564,NM_001109040.1,kinesin family member 21A
814,DTNA,Dtna,13527,NM_207650.3,"dystrobrevin, alpha"
815,PHF12,Phf12,268448,NM_174852.2,PHD finger protein 12
816,PFKM,Pfkm,18642,NM_021514.3,"phosphofructokinase, muscle"
817,KIAA0226,1700021K19Rik,224118,NM_172615.3,KIAA0226
818,PCDH1,Pcdh1,75599,NM_029357.3,protocadherin 1
819,PLCB1,Plcb1,18795,NM_019677.1,"phospholipase C, beta 1 (phosphoinositide-specific)"
820,ZFYVE1,Zfyve1,217695,NM_183154.3,"zinc finger, FYVE domain containing 1"
821,NEURL,Neurl,18011,NM_021360.3,neuralized homolog (Drosophila)
822,ARRB1,Arrb1,109689,NM_177231.2,"arrestin, beta 1"
823,NWD1,Nwd1,319555,NM_176940.5,NACHT and WD repeat domain containing 1
824,KDM4B,Jmjd2b,193796,NM_172132.1,lysine (K)-specific demethylase 4B
825,FAM190B,Gcap14,72972,NM_027045.1,"family with sequence similarity 190, member B"
826,RTN4R,Rtn4r,65079,NM_022982.2,reticulon 4 receptor
827,PTPN11,Ptpn11,19247,NM_011202.3,"protein tyrosine phosphatase, non-receptor type 11"
828,ZC3H4,Zc3h4,330474,NM_198631.2,zinc finger CCCH-type containing 4
829,ANAPC1,Anapc1,17222,NM_008569.1,anaphase promoting complex subunit 1
830,APOE,Apoe,11816,NM_009696.3,apolipoprotein E
831,ATXN1,Atxn1,20238,NM_009124.5,ataxin 1
832,PRKACB,Prkacb,18749,NM_011100.3,"protein kinase, cAMP-dependent, catalytic, beta"
833,DOPEY1,Dopey1,320615,NM_177208.3,dopey family member 1
834,KCNQ3,Kcnq3,110862,NM_152923.1,"potassium voltage-gated channel, KQT-like subfamily, member 3"
835,ACLY,Acly,104112,NM_134037.2,ATP citrate lyase
836,BCAN,Bcan,12032,NM_007529.2,brevican
837,HDLBP,Hdlbp,110611,NM_133808.4,high density lipoprotein binding protein
838,DGCR2,Dgcr2,13356,NM_010048.3,DiGeorge syndrome critical region gene 2
839,PSAP,Psap,19156,NM_011179.2,prosaposin
840,VPS41,Vps41,218035,NM_172120.3,vacuolar protein sorting 41 homolog (S. cerevisiae)
841,EHMT1,Ehmt1,77683,NM_001012518.2,euchromatic histone-lysine N-methyltransferase 1
842,EML2,Eml2,72205,NM_001162996.1,echinoderm microtubule associated protein like 2
